map_type,trial,d,limit,exact_truncation_fraction,eventual_truncation_floor,reachable_start_fraction,max_finite_hitting_transitions
random,25,8,512,0.110931396484,0.106506347656,0.893493652344,544
random,25,8,1024,0.106506347656,0.106506347656,0.893493652344,544
random,26,4,16,0.334014892578,0.000671386719,0.999328613281,92
random,26,4,32,0.091445922852,0.000671386719,0.999328613281,92
random,26,4,64,0.004852294922,0.000671386719,0.999328613281,92
random,26,6,64,0.336196899414,0.055999755859,0.944000244141,206
random,26,6,128,0.107650756836,0.055999755859,0.944000244141,206
random,26,6,256,0.055999755859,0.055999755859,0.944000244141,206
random,26,8,256,0.259918212891,0.091476440430,0.908523559570,412
random,26,8,512,0.091476440430,0.091476440430,0.908523559570,412
random,26,8,1024,0.091476440430,0.091476440430,0.908523559570,412
random,27,4,16,0.328628540039,0.005310058594,0.994689941406,89
random,27,4,32,0.105041503906,0.005310058594,0.994689941406,89
random,27,4,64,0.013946533203,0.005310058594,0.994689941406,89
random,27,6,64,0.335937500000,0.085159301758,0.914840698242,225
random,27,6,128,0.169021606445,0.085159301758,0.914840698242,225
random,27,6,256,0.085159301758,0.085159301758,0.914840698242,225
random,27,8,256,0.622360229492,0.622360229492,0.377639770508,212
random,27,8,512,0.622360229492,0.622360229492,0.377639770508,212
random,27,8,1024,0.622360229492,0.622360229492,0.377639770508,212
random,28,4,16,0.311859130859,0.000427246094,0.999572753906,83
random,28,4,32,0.101135253906,0.000427246094,0.999572753906,83
random,28,4,64,0.007934570312,0.000427246094,0.999572753906,83
random,28,6,64,0.361724853516,0.004104614258,0.995895385742,223
random,28,6,128,0.132354736328,0.004104614258,0.995895385742,223
random,28,6,256,0.004104614258,0.004104614258,0.995895385742,223
random,28,8,256,0.092559814453,0.091445922852,0.908554077148,278
random,28,8,512,0.091445922852,0.091445922852,0.908554077148,278
random,28,8,1024,0.091445922852,0.091445922852,0.908554077148,278
random,29,4,16,0.357421875000,0.000030517578,0.999969482422,91
random,29,4,32,0.138900756836,0.000030517578,0.999969482422,91
random,29,4,64,0.019592285156,0.000030517578,0.999969482422,91
random,29,6,64,0.441497802734,0.069259643555,0.930740356445,245
random,29,6,128,0.144271850586,0.069259643555,0.930740356445,245
random,29,6,256,0.069259643555,0.069259643555,0.930740356445,245
random,29,8,256,0.636230468750,0.632049560547,0.367950439453,298
random,29,8,512,0.632049560547,0.632049560547,0.367950439453,298
random,29,8,1024,0.632049560547,0.632049560547,0.367950439453,298
