config,trial,map_type,b,N,m,d,limit,limit_over_mean,covered_states,coverage_fraction,stored_chains,truncated_chains,truncation_fraction,distinct_endpoints,mean_stored_transitions,theory_truncation_fraction
dp-d4-l32,10,des,16,65536,1024,4,32,2.000,6394,0.097564697266,903,121,0.118164062500,477,10.871539,0.126788786377
dp-d4-l32,10,random,16,65536,1024,4,32,2.000,6679,0.101913452148,929,95,0.092773437500,503,11.299247,0.126788786377
dp-d4-l64,10,des,16,65536,1024,4,64,4.000,7925,0.120925903320,1017,7,0.006835937500,479,14.435595,0.016075396351
dp-d4-l64,10,random,16,65536,1024,4,64,4.000,7846,0.119720458984,1018,6,0.005859375000,506,13.997053,0.016075396351
dp-d6-l64,10,des,16,65536,1024,6,64,1.000,6508,0.099304199219,691,333,0.325195312500,147,28.528220,0.364986524244
dp-d6-l64,10,random,16,65536,1024,6,64,1.000,7640,0.116577148438,793,231,0.225585937500,167,27.890290,0.364986524244
dp-d6-l128,10,des,16,65536,1024,6,128,2.000,9244,0.141052246094,942,82,0.080078125000,147,44.316348,0.133215162880
dp-d6-l128,10,random,16,65536,1024,6,128,2.000,9918,0.151336669922,981,43,0.041992187500,167,38.180428,0.133215162880
dp-d6-l256,10,des,16,65536,1024,6,256,4.000,10215,0.155868530273,1021,3,0.002929687500,147,52.441724,0.017746279621
dp-d6-l256,10,random,16,65536,1024,6,256,4.000,10350,0.157928466797,1015,9,0.008789062500,167,42.460099,0.017746279621
dp-d8-l256,10,des,16,65536,1024,8,256,1.000,7263,0.110824584961,687,337,0.329101562500,35,102.114993,0.367159754892
dp-d8-l256,10,random,16,65536,1024,8,256,1.000,3430,0.052337646484,312,712,0.695312500000,34,69.766026,0.367159754892
dp-d8-l512,10,des,16,65536,1024,8,512,2.000,7438,0.113494873047,707,317,0.309570312500,35,107.019802,0.134806285612
dp-d8-l512,10,random,16,65536,1024,8,512,2.000,3686,0.056243896484,333,691,0.674804687500,34,84.096096,0.134806285612
